# SYSTEM: Ni
# Method: Classical MD

# NOTES:
# t: time
# ps: Picoseconds
# N_FP: Number of defected atoms
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)             N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def
13.854983          2638   29.868208          2568   15.414646          3263   23.878675          2415   21.170418          2682   28.194306          2522   25.373428          4115   22.419514          2328   26.237353          3281
14.563616          2574   30.619394          2578   16.161798          3268   24.642558          2420   21.920154          2618   28.946245          2525   26.103885          4154   23.180363          2328   26.991204          3245
15.280733          2609   31.376639          2525   16.854567          3248   25.403173          2429   22.679151          2681   29.70032           2531   26.86076           4152   23.936145          2301   27.741973          3287
16.029154          2598   32.141575          2606   17.606059          3194   26.156535          2431   23.425823          2654   30.457472          2512   27.622585          4096   24.691985          2334   28.493207          3232
16.765328          2587   32.901636          2534   18.350842          3241   26.913584          2414   24.18305           2656   31.217501          2524   28.378158          4013   25.450021          2357   29.246159          3292
17.500072          2566   33.659031          2533   19.043019          3207   27.670235          2407   24.934689          2632   31.974573          2498   29.132964          4097   26.20934           2330   30.008309          3250
18.245432          2529   34.426882          2551   19.794829          3214   28.426826          2430   25.688501          2602   32.73482           2482   29.87873           4105   26.968245          2350   30.76283           3251
18.991872          2570   35.187248          2540   20.551442          3215   29.181641          2446   26.449264          2623   33.494288          2479   30.636446          4054   27.718877          2343   31.522796          3221
19.739731          2608   35.950489          2536   21.303877          3227   29.935394          2404   27.214167          2618   34.260358          2505   31.370208          4138   28.480276          2335   32.281434          3248
20.49533           2559   36.709972          2521   22.060385          3210   30.689354          2431   27.972637          2642   35.015045          2494   32.119874          4120   29.235516          2354   33.028246          3192
21.257965          2584   37.463998          2545   22.821005          3201   31.454319          2440   28.719444          2592   35.774359          2533   32.884661          4042   29.994525          2333   33.787964          3188
