# SYSTEM: CrFeCoNi
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_e: The average electronic temperature over all atoms in each simulation cell
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions and different high entropy alloy (HEA) structure

#t(ps)    T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)
0         300       0         300       0         300       0         300       0         300       0         300       0         300       0         300       0         300       0         300
58.8492   328.6264  50.4334   332.7375  57.385    330.6785  50.3797   332.5544  58.7888   332.2611  37.9814   332.6407  55.613    332.2421  50.9073   332.1933  50.5173   332.5941  44.0626   329.3702
59.6203   328.6218  51.1903   332.7537  58.1392   330.6978  51.1429   332.5713  59.554    332.2546  38.7314   332.6753  56.3794   332.2524  51.6709   332.2158  51.2764   332.6116  44.8251   329.3832
60.3945   328.6353  51.9595   332.7714  58.9029   330.7066  51.9127   332.5901  60.3159   332.2703  39.4929   332.7166  57.1389   332.2548  52.4296   332.2428  52.0456   332.6294  45.5847   329.4123
61.167    328.6446  52.726    332.7965  59.6648   330.7056  52.6739   332.6142  61.0759   332.2812  40.2566   332.766   57.9058   332.2735  53.1949   332.2527  52.8114   332.6529  46.3511   329.4348
61.9362   328.6569  53.4902   332.7981  60.4298   330.7184  53.4394   332.617   61.8412   332.2973  40.9509   332.7994  58.6734   332.2903  53.9569   332.2572  53.5718   332.6527  47.1197   329.459
62.7036   328.6468  54.2515   332.8124  61.1933   330.7298  54.2001   332.6311  62.6079   332.2853  41.7109   332.834   59.4381   332.2858  54.7128   332.2851  54.3305   332.6691  47.881    329.4682
63.4665   328.6601  55.016    332.8321  61.9531   330.741   54.9558   332.6504  63.369    332.2983  42.4674   332.8596  60.2038   332.297   55.4734   332.2973  55.0966   332.6873  48.6456   329.488
64.2328   328.6731  55.7797   332.8428  62.7246   330.7307  55.723    332.6624  64.1328   332.3163  43.2314   332.9026  60.9609   332.3071  56.2377   332.3079  55.8528   332.698   49.4181   329.5127
65.0024   328.6718  56.55     332.8489  63.4907   330.7467  56.4847   332.6678  64.9023   332.3159  43.9943   332.934   61.7215   332.3221  57.0054   332.3101  56.6153   332.7017  50.1879   329.5237
65.7764   328.6733  57.3158   332.8551  64.2588   330.7596  57.2517   332.6758  65.6641   332.3151  44.755    332.9491  62.4771   332.3165  57.7686   332.3277  57.3753   332.7096  50.9518   329.533
66.5448   328.6771  58.0849   332.8733  65.0276   330.757   58.017    332.6912  66.4282   332.3197  45.5214   332.9802  63.2368   332.3227  58.5313   332.3488  58.1452   332.7271  51.7193   329.5485
67.3166   328.6938  58.8444   332.884   65.7946   330.7597  58.7806   332.7044  67.1841   332.3389  46.2759   333.0062  63.9898   332.3386  59.2945   332.3421  58.9064   332.7357  52.4792   329.568
68.0779   328.6875  59.6118   332.8823  66.5639   330.7644  59.54     332.7016  67.9476   332.3352  47.0433   333.032   64.7492   332.3423  60.0502   332.3538  59.6762   332.7347  53.2441   329.5757
68.8388   328.6843  60.371    332.8937  67.3297   330.7816  60.3022   332.7124  68.7078   332.327   47.8051   333.0443  65.5091   332.3403  60.815    332.3643  60.4391   332.7459  54.0097   329.5792
69.6018   328.6966  61.1327   332.9035  68.0971   330.7736  61.0675   332.7241  69.4713   332.3437  48.5587   333.0643  66.2627   332.3442  61.5773   332.3794  61.1962   332.7562  54.7736   329.5988
70.3689   328.7022  61.8906   332.9155  68.861    330.7727  61.8328   332.7336  70.2325   332.3499  49.3203   333.0927  67.0287   332.3575  62.3435   332.3764  61.9605   332.7662  55.531    329.6064
